[FIXES]
AAMMM N036.10.25.899 W114.51.55.789
FIDOE N036.16.11.438 W115.29.56.850
FIRBA N037.13.43.330 W116.03.48.819
FIXIX N036.00.54.100 W115.12.04.791
FIXLU N035.49.12.000 W115.12.28.000
FIZZL N036.56.03.368 W113.16.23.908
FLAMZ N035.54.39.931 W114.16.11.560
FLICR N036.04.34.478 W114.51.05.230
FLUSH N036.50.47.871 W116.20.16.130
FLYES N036.04.33.841 W114.45.46.011
FOBIV N037.34.01.621 W112.30.06.559
FOLDD N036.21.40.280 W114.37.44.040
FORGE N035.51.53.089 W115.04.06.470
FRAWG N036.08.43.000 W114.46.04.000
FRBET N036.58.08.860 W112.27.26.661
FREDD N036.54.33.811 W112.21.04.420
FROGE N037.32.28.010 W116.03.36.190
FROZE N036.20.21.321 W115.05.26.181
FUZZY N036.12.02.070 W115.54.01.011
GABIL N035.57.27.518 W115.10.42.898
GALNE N035.59.42.820 W115.12.45.539
GARDD N037.03.12.909 W112.37.54.379
GEEGS N036.04.33.499 W115.20.23.060
GEEOO N036.26.09.960 W113.37.02.258
GEVOW N036.08.12.998 W115.24.11.001
GGAPP N037.31.59.599 W112.08.04.628
GITZM N037.12.42.109 W116.04.55.228
GLIME N036.46.30.910 W112.39.21.689
GRMPS N036.08.12.681 W114.58.52.219
GRUNY N035.56.25.810 W114.39.26.301
GUCNO N035.43.35.961 W112.08.44.361
GUCRU N035.53.38.140 W112.25.45.271
GUMPZ N035.53.55.489 W113.42.07.171
GUNTR N036.24.39.650 W114.02.11.551
GUNVE N035.56.45.841 W115.03.15.051
GYMBO N037.22.09.119 W115.31.19.739
HAJWU N037.41.27.970 W112.27.10.580
HAKID N035.45.45.439 W115.08.12.681
HAMIG N036.16.17.810 W115.00.26.600
HAPER N037.02.56.551 W113.11.20.241
HAPLY N035.52.44.399 W112.13.27.638
HARFE N035.54.22.888 W114.59.07.879
HARLS N036.04.01.221 W115.22.47.049
HARNE N036.55.29.999 W117.10.32.998
HAWKO N036.04.34.809 W114.54.40.640
HEGID N037.21.22.921 W112.16.22.609
HERAS N036.08.26.091 W115.05.21.418
HEREI N036.13.30.928 W114.45.59.608
HEREM N036.22.31.259 W114.52.18.339
HILVI N037.02.53.768 W115.41.42.248
HITAR N036.39.14.040 W112.23.43.141
HITME N035.49.17.000 W115.04.27.001
HIVKA N037.07.45.001 W113.31.02.999
HOBTA N036.46.43.708 W113.40.32.458
HOCKY N036.02.55.798 W114.52.16.330
HOKUM N036.27.34.221 W114.59.15.730
HOLDM N036.49.07.100 W113.32.40.588
HOLUK N036.44.42.799 W113.31.59.199
HOPEB N037.28.20.279 W113.11.47.878
HOSER N037.44.56.619 W116.45.15.829
HUBON N037.31.48.539 W116.35.26.491
HUGER N037.49.19.081 W116.47.34.659
HULPU N036.24.20.739 W114.50.43.738
HUNKU N037.21.53.881 W113.48.42.188
HUROR N036.53.28.060 W112.35.17.959
HUSOL N036.09.33.998 W115.08.35.001
HUSTS N036.02.52.681 W115.14.07.551
IFEYE N036.24.56.041 W114.47.49.318
IKRIY N036.02.15.129 W115.28.22.371
IPPOD N037.24.30.650 W113.14.36.330
IPUMY N036.01.51.819 W115.22.31.180
IPYAD N037.35.43.321 W112.17.38.410
IRAVE N037.35.16.850 W116.37.56.938
IRDUQ N035.06.35.071 W114.07.13.828
IREEN N036.13.25.769 W115.02.39.271
IRISH N036.02.16.440 W114.46.14.059
IRQEV N037.01.01.498 W113.31.13.839
ITAHL N036.08.15.000 W114.59.58.819
ITAVE N037.41.47.281 W116.42.39.661
ITEGY N036.49.52.219 W113.41.48.839
ITFEL N035.48.45.709 W115.08.11.558
ITOGE N037.46.33.470 W116.46.07.510
IVLEC N035.34.02.290 W112.11.14.539
IXEKE N037.03.32.209 W113.29.53.498
IXUXY N036.50.05.438 W113.38.19.539
IYLAG N036.59.35.041 W113.35.35.851
IZOMO N037.16.51.250 W113.20.12.299
JABNA N036.06.13.960 W115.09.01.868
JADPU N038.04.05.880 W116.55.23.188
JAFFU N036.49.52.330 W113.35.35.160
JAGOK N035.51.15.818 W114.39.03.999
JAGUK N037.04.17.108 W113.13.58.400
JAKER N036.00.53.200 W115.12.17.949
JAKLO N035.26.25.299 W113.43.01.041
JAKOP N036.09.50.961 W115.06.02.991
JAKPU N036.14.39.749 W115.14.12.559
JALMA N036.33.34.520 W112.11.59.848
JAMIA N035.54.25.009 W114.57.24.771
JAMMD N036.00.15.789 W115.19.46.718
JAMVU N035.22.05.300 W113.48.19.918
JANAV N037.54.04.651 W116.50.06.151
JARIK N036.09.32.749 W115.45.39.398
JASSE N036.04.15.531 W111.48.45.810
JATID N035.25.44.490 W112.07.34.971
JATKA N036.50.33.878 W111.25.48.000
JAVPU N035.47.45.960 W112.04.45.231
JAYSN N036.34.25.478 W116.02.26.620
JEBBB N035.54.38.271 W115.23.06.500
JEDNA N036.19.23.548 W115.39.23.169
JEDPO N036.08.05.420 W115.07.13.720
JEGET N036.19.21.320 W114.56.17.390
JENAR N036.19.53.180 W114.55.42.481
JEPAR N038.00.23.630 W116.53.27.780
JERAR N035.42.35.769 W115.14.28.748
JESJI N036.04.25.219 W115.04.42.729
JESVO N037.30.52.059 W116.37.48.421
JEXIX N035.50.51.928 W115.08.10.769
JEZOB N037.10.33.690 W113.25.10.059
JIDUL N036.08.02.849 W115.07.24.668
JIGAV N037.16.02.240 W113.20.48.091
JIREM N037.34.32.890 W116.39.47.379
JITEG N036.48.35.589 W113.36.51.379
JITKA N037.06.02.181 W113.34.48.579
JIVIK N036.52.39.370 W113.36.37.969
JOGEV N036.17.30.390 W114.58.21.579
JOGMU N036.14.34.090 W115.01.55.300
JOKUS N036.21.02.188 W115.22.17.371
JOMIX N035.26.28.089 W114.52.48.989
JONOT N036.36.01.270 W114.20.15.061
JOVBA N036.53.23.550 W112.25.36.480
JUDDU N035.29.21.879 W112.13.26.551
JUSOX N037.22.54.598 W115.52.15.240
JUVNO N035.59.57.469 W114.48.12.801
KACCY N035.48.49.168 W115.14.50.560
KACEE N035.20.48.069 W112.26.20.648
KACIR N036.59.30.879 W112.14.22.009
KADDY N035.44.32.661 W114.23.00.711
KAYTU N035.54.46.688 W115.08.09.308
KECFO N036.56.16.940 W113.34.14.181
KEMBE N037.01.35.929 W113.08.42.158
KENNO N037.17.53.368 W117.18.36.810
KENUQ N036.08.36.149 W115.00.04.208
KEPEC N035.58.16.640 W115.33.48.740
KEVNS N036.07.04.630 W115.01.30.961
KGRDN N035.45.28.800 W114.59.45.329
KIBSE N035.56.20.518 W115.14.40.948
KICHI N037.58.00.001 W117.10.59.998
KIDDS N036.06.47.480 W114.53.49.131
KIGGE N036.18.45.061 W115.19.23.300
KIHMY N036.22.00.400 W115.16.59.401
KIMME N035.59.43.000 W114.49.50.001
KITCH N036.15.12.009 W115.00.55.551
KITEE N036.00.36.039 W115.00.01.688
KLIFF N036.39.07.441 W111.39.01.051
KOPRR N037.12.43.059 W115.33.57.769
KRINA N035.28.02.521 W113.11.35.599
KRUDY N035.47.59.791 W115.19.38.240
KSINO N036.34.32.120 W114.05.04.588
KUTME N036.30.17.150 W114.44.04.531
LAKIY N035.28.33.380 W114.39.46.080
LAKRR N036.05.07.720 W114.17.09.160
LAMVE N036.02.58.948 W115.08.06.248
LAPIN N036.07.48.219 W114.45.46.148
LARRE N036.04.24.650 W114.50.09.639
LATPE N036.16.42.740 W114.59.09.740
LEAHI N037.28.58.000 W117.14.57.001
LEAVN N036.08.22.660 W115.03.40.849
LEBRR N036.08.08.620 W115.12.01.738
LEELN N036.04.35.000 W115.16.54.001
LEFGO N036.12.18.291 W115.11.25.958
LEMNZ N036.08.14.251 W115.07.57.068
LERBE N036.59.13.711 W113.04.03.809
LIDAT N037.25.48.669 W117.16.41.001
LIDDL N035.45.58.229 W115.05.50.668
LITTS N036.06.41.630 W115.05.26.818
LODZY N036.04.34.690 W115.13.22.159
LOFTS N035.21.43.988 W112.04.39.651
LOOSN N036.08.07.479 W114.56.24.208
LOZMO N037.53.34.630 W116.49.25.748
LUCIL N035.58.47.258 W115.18.28.800
LUCKY N036.02.19.550 W115.50.45.088
LUMPE N036.08.22.851 W115.03.46.461
LUPEW N035.20.34.119 W113.52.25.949
LUTYE N035.53.14.938 W115.14.46.881
LUXOR N036.23.41.618 W114.28.49.540
LYNSY N035.39.37.951 W114.45.22.150
MACEF N036.49.13.890 W114.06.06.919
MANNZ N035.17.34.011 W113.53.51.741
MARNB N038.02.47.601 W117.04.22.789
MATZO N037.14.45.909 W113.16.09.480
MDDOG N035.53.08.030 W115.24.19.141
MEADS N036.09.49.229 W114.29.29.619
MEBDE N035.18.13.629 W114.34.14.120
MEDOE N036.11.45.999 W115.11.12.001
MEDUW N036.06.53.348 W115.08.51.910
MEEUP N036.04.21.529 W115.17.54.560
MESAE N036.26.03.001 W115.34.18.001
MGHEE N036.49.19.880 W112.44.48.429
MILKI N035.42.11.599 W113.40.51.110
MINEY N035.57.42.998 W114.53.58.999
MIRAJ N036.18.44.370 W114.39.35.060
MKEEE N037.14.33.010 W115.47.32.629
MNGGO N035.51.13.550 W113.28.23.588
MOAPA N036.33.08.229 W114.42.04.798
MORRK N036.19.04.468 W114.19.43.870
MOSBI N035.35.34.598 W111.53.42.698
MPIRE N037.33.00.089 W113.30.24.321
MUKSY N036.58.53.029 W113.35.35.041
MYCAL N036.27.36.651 W116.15.51.339
NABME N036.06.25.228 W115.06.49.971
NAPSE N036.09.33.998 W114.49.14.001
NAVHO N035.24.25.020 W112.26.23.528
NAVSE N035.13.27.620 W113.58.52.298
NELLE N036.08.54.999 W115.00.29.998
NICLE N036.18.43.671 W113.13.28.959
NICZU N035.55.35.511 W115.12.37.069
NIPZO N036.01.06.841 W115.12.10.170
NODIY N035.56.53.818 W115.14.34.468
NOGNN N037.23.11.850 W113.19.45.829
NOOTN N036.37.32.631 W113.20.40.250
NORRA N036.45.33.501 W114.16.51.909
NWLYN N038.07.00.001 W114.00.00.000
OASYS N035.54.15.051 W115.23.12.098
OKADE N036.56.16.569 W112.33.57.801
OLNIE N036.34.59.318 W114.54.45.388
ONRUE N035.54.31.579 W113.04.07.258
OPAWO N037.39.54.460 W112.12.03.621
OPOYA N037.42.30.488 W112.26.45.960
OSRIE N037.49.18.519 W116.47.34.389
OSSON N037.44.49.290 W112.25.51.009
OVETO N036.27.37.911 W114.30.28.440
OWTUJ N037.06.33.541 W113.27.40.950
OYUDU N036.49.24.301 W114.03.45.651
PAGSY N037.02.58.210 W111.28.29.899
PALAE N037.43.47.078 W116.44.39.188
PALLY N035.41.00.538 W115.16.55.369
PANAC N037.53.21.030 W114.58.29.701
PANTD N035.11.36.020 W112.23.35.649
PATOK N035.01.50.008 W114.11.26.160
PAWEK N036.06.49.420 W115.08.41.571
PAYLR N037.11.32.319 W113.24.04.759
PAYUP N036.08.26.789 W115.05.42.388
PEBDE N037.20.25.598 W115.50.56.349
PECHS N036.52.44.439 W112.51.25.189
PEEWE N036.58.08.691 W111.36.40.809
PEZLA N035.57.16.999 W115.10.06.999
PHYLI N036.57.28.018 W113.52.57.359
PIETZ N037.35.57.310 W113.08.42.100
PIIXR N036.36.29.271 W113.45.02.401
PIRMD N036.04.24.610 W115.15.11.001
PIRME N036.06.18.680 W115.09.11.779
PIUTE N036.30.40.950 W116.05.41.319
PLNDL N035.50.17.429 W111.52.40.710
POBME N037.28.55.228 W112.45.31.989
POKRR N036.03.45.489 W114.35.53.429
POOLZ N036.04.24.999 W115.16.54.998
POSEE N036.01.02.899 W115.10.33.420
PRFUM N035.30.24.458 W113.56.34.850
PRINO N036.04.23.599 W114.43.38.859
PROMT N037.30.06.699 W111.52.12.939
QUXEP N037.15.25.221 W113.37.11.539
RACES N036.03.43.358 W114.59.37.179
RAMSY N034.53.28.521 W113.08.17.980
RANVE N036.11.16.299 W115.04.44.180
RBELL N036.04.34.510 W115.15.08.751
REELY N036.05.09.801 W114.24.43.160
RELIN N036.04.25.269 W115.00.59.871
RENTT N036.04.12.151 W113.38.18.189
RIMMM N035.31.54.238 W112.05.40.390
RIOOS N036.11.20.810 W114.39.43.639
RIZZN N036.07.43.679 W115.08.10.528
RKEEE N037.04.53.108 W115.38.37.550
ROCEN N038.04.27.559 W116.54.10.641
ROCKX N036.12.49.111 W115.03.34.329
RODDD N035.51.26.488 W115.18.54.349
RONKY N036.39.19.879 W114.56.06.590
ROOLL N036.27.37.929 W111.28.54.980
ROPPR N035.58.16.269 W115.18.05.990
ROUPY N035.56.37.809 W114.50.34.980
ROUTI N035.11.03.130 W114.01.48.201
ROYLL N036.51.14.968 W115.36.07.959
RUDII N037.43.19.660 W116.44.24.709
RURIW N035.54.51.001 W112.20.35.998
RUWSU N036.16.09.598 W114.39.17.398
RUXKY N036.52.45.598 W113.46.16.201
RUZCO N036.14.32.679 W115.17.07.288
SADOE N035.45.35.791 W115.03.16.041
SAFTY N037.23.30.789 W115.55.33.459
SALAJ N036.04.31.681 W115.10.00.411
SAVRE N035.41.45.481 W112.24.59.558
SAYQO N036.20.06.151 W115.25.19.779
SCAMR N035.53.52.101 W114.49.55.171
SCHLS N035.14.18.549 W113.09.42.771
SCUZZ N037.01.19.390 W116.00.03.481
SECRT N036.20.09.981 W115.16.05.249
SESAE N036.57.33.991 W115.46.50.991
SHABI N036.26.44.271 W113.55.25.949
SHADO N036.15.48.589 W116.13.46.689
SHAND N036.04.25.129 W114.56.34.220
SHIES N037.04.07.168 W115.42.20.750
SHUSS N035.29.43.918 W114.53.16.231
SIGOY N036.59.41.251 W112.32.20.299
SINHO N035.20.16.990 W113.37.51.391
SINNN N037.03.00.838 W111.50.28.978
SISIE N034.59.05.161 W113.20.17.170
SISKL N035.47.56.799 W114.31.55.408
SITEE N036.17.41.020 W114.37.54.469
SLVIR N037.13.06.088 W116.01.11.888
SMKEE N036.54.07.570 W115.37.14.800
SOSOY N035.59.20.320 W115.13.10.920
SSKUL N036.51.02.998 W116.17.42.601
STAAV N036.12.01.159 W114.46.58.238
STOFF N037.25.06.538 W116.32.30.519
STRTO N036.10.15.060 W115.06.56.300
STYME N036.49.59.998 W116.00.00.000
SUNST N036.00.37.000 W115.04.50.998
SUNYY N036.38.54.441 W112.50.47.990
SUVIE N036.21.33.930 W114.48.17.110
SUZSI N036.02.15.000 W114.31.18.001
SVERE N036.07.08.061 W115.08.43.508
TACUS N037.05.16.000 W116.54.11.998
TARRK N035.53.25.659 W115.38.58.318
TENTS N035.29.31.880 W112.27.06.901
TIFFY N036.04.23.779 W114.45.47.041
TILOE N035.32.22.999 W115.03.01.000
TINNK N036.11.19.341 W114.42.19.288
TNNIT N036.24.50.119 W115.23.23.218
TOADD N036.17.45.599 W111.30.37.209
TOMIS N036.08.36.999 W115.18.02.001
TOPRY N035.12.56.851 W114.15.00.831
TOWEN N036.08.16.299 W115.03.01.238
TRAGR N036.06.57.560 W115.38.13.941
TRALR N036.11.37.330 W114.14.40.588
TRREY N035.51.26.539 W115.17.40.790
TRROP N036.07.57.000 W114.57.26.999
TRUXE N035.26.42.601 W113.49.43.798
TUMBE N036.48.20.001 W116.40.03.000
TUNDY N036.55.43.100 W116.08.43.029
TUPUC N036.12.58.910 W115.16.40.569
TYSSN N035.51.20.001 W114.26.11.000
UGBOY N035.38.42.658 W112.09.02.278
UGEXY N036.57.54.619 W113.32.38.579
UHILL N036.53.47.669 W117.13.36.400
UNPAS N035.17.46.838 W114.38.25.958
URIAH N037.30.10.260 W113.42.09.540
UTIBY N036.39.51.530 W113.35.35.289
UYITA N037.04.35.450 W113.29.36.661
UYUVE N037.06.33.890 W113.27.41.698
VALEQ N035.44.01.730 W112.06.31.438
VEEPA N037.00.37.558 W115.40.30.871
VEGKU N036.16.33.031 W115.16.35.950
VERKN N037.23.00.049 W112.04.21.691
VETTT N036.37.20.078 W114.35.14.481
VEVUY N036.54.37.000 W113.34.08.068
VICKE N037.39.24.019 W116.03.49.179
VILMA N036.09.55.900 W115.05.46.298
VOJUR N035.28.18.238 W113.49.52.860
VPVAL N036.17.34.000 W115.10.48.000
VYTOS N036.02.00.481 W115.01.31.720
WASTE N036.04.35.140 W115.04.25.719
WATLA N037.21.12.751 W113.17.01.219
WATLU N037.46.33.679 W116.46.07.179
WAXIE N037.00.08.830 W115.42.13.719
WEBSO N036.10.26.731 W115.06.02.570
WELPO N036.05.16.569 W115.32.55.230
WETAX N036.06.34.210 W115.06.41.259
WHAAT N035.58.59.998 W114.59.30.001
WHSKY N036.09.11.998 W114.55.33.999
WHYME N035.43.57.241 W115.23.39.051
WILEY N036.53.25.450 W115.39.45.568
WILIE N036.16.23.440 W114.59.36.099
WILLW N035.57.00.770 W114.52.40.969
WILSE N036.07.14.239 W115.08.27.351
WINDS N035.51.23.349 W114.35.55.809
WINEN N037.55.59.998 W113.30.00.000
WINER N035.04.34.399 W113.09.04.939
WISTO N036.35.23.251 W114.56.58.610
WITLA N035.58.41.890 W115.21.02.998
WNNDE N036.07.40.709 W115.08.24.680
WOBNO N037.44.55.831 W112.05.20.601
WODIK N037.07.32.048 W115.44.08.379
WODIN N037.19.19.999 W117.05.25.000
WOMIM N036.50.22.891 W113.36.02.941
WOTRO N035.10.07.888 W113.19.15.679
WOXEK N036.20.29.180 W114.55.03.539
WSKEE N036.54.38.001 W116.06.47.991
WULMU N037.40.41.581 W113.19.27.451
WUPAV N037.17.28.510 W115.49.22.720
XOJPO N037.44.55.870 W113.03.28.299
YEYUY N037.03.20.588 W113.30.00.230
YORRK N034.52.03.230 W113.55.58.141
YOSST N035.54.54.788 W115.17.29.230
ZABES N036.01.36.591 W115.11.53.109
ZAGLI N035.53.14.931 W114.43.19.160
ZAINY N036.39.24.728 W113.54.03.499
ZAPVO N036.33.40.219 W114.47.47.490
ZARED N036.55.06.780 W112.56.02.029
ZATES N035.27.17.999 W114.06.53.999
ZEDUL N036.05.24.000 W114.59.39.998
ZEGAB N037.25.29.560 W115.54.59.108
ZELOT N035.52.09.998 W112.02.20.000
ZEXOP N036.57.10.501 W113.57.12.240
ZIGGG N036.23.03.721 W114.27.28.220
ZIMLU N037.21.43.459 W116.03.22.500
ZIVSI N035.36.31.748 W114.07.58.990
ZOGOV N036.52.05.030 W113.35.16.799
ZOVPU N036.46.38.618 W113.46.46.920
ZUMAS N037.37.14.070 W113.10.03.889
ZUMOD N035.19.03.511 W114.34.17.878
ZUXOS N036.51.10.000 W112.59.21.001
ZZYZX N035.39.53.521 W114.51.54.989
AAERO N039.35.57.728 W106.58.46.009
ACAGI N040.25.56.200 W106.50.33.838
ACODI N036.44.29.871 W108.13.01.480
ACOSI N037.07.07.348 W111.32.04.588
ADINY N039.14.52.130 W106.52.50.199
ADNUC N039.39.04.298 W106.51.12.779
ADUMY N036.45.28.270 W107.56.39.829
AGIME N038.29.41.431 W108.25.13.191
AIGLE N039.40.23.091 W106.42.25.948
AIRNS N038.42.15.580 W108.09.24.829
AJAXX N039.30.28.069 W107.00.19.231
AKICE N042.54.44.060 W106.11.46.438
AKIGY N038.23.19.291 W107.12.26.470
ALCOS N042.47.26.750 W106.34.35.371
ALLIX N039.20.22.491 W106.53.03.469
ALVOJ N039.02.14.978 W108.26.22.660
ALWEN N040.33.26.539 W107.11.23.679
ALZOY N040.30.52.750 W107.18.44.499
ANEAR N040.29.18.779 W107.35.32.510
ANIUM N038.27.13.590 W109.46.34.258
ANTEJ N039.31.51.790 W107.30.19.519
APORY N037.29.13.588 W109.29.00.139
APRES N039.43.51.610 W107.05.09.239
ARCHH N038.47.58.419 W109.34.45.829
ARDYN N036.44.55.690 W107.53.29.468
AREND N039.39.36.039 W106.47.41.049
ARFEJ N042.10.26.169 W107.10.50.620
AROGE N036.46.00.278 W111.24.39.711
ASETB N039.15.55.889 W106.54.52.189
ASETC N039.13.18.850 W106.54.09.180
ASETD N039.23.12.361 W106.54.11.458
ATEMY N037.23.11.410 W108.32.06.989
AVEGA N036.33.45.889 W110.20.26.599
AVUXE N039.10.04.079 W108.47.26.491
AWACC N039.39.59.061 W106.44.40.300
AWIZO N035.56.02.450 W111.47.01.899
AWRAW N039.34.25.258 W108.21.13.579
AWUCO N038.18.19.800 W107.50.18.999
AWUDE N039.36.01.530 W107.16.37.390
AWXIL N039.27.18.979 W108.00.10.148
AXFAL N039.31.54.919 W107.24.47.109
AXGEX N037.39.20.408 W111.05.12.559
AXIAL N040.20.10.849 W107.33.29.260
AXIBY N042.38.42.269 W106.32.55.838
AXOZU N038.23.15.399 W107.12.01.000
AYAVA N036.52.08.580 W111.26.08.548
AYEDY N038.57.49.420 W108.30.31.791
AYXAF N038.23.34.180 W107.11.47.378
BARZA N039.40.08.230 W106.44.05.639
BASAM N039.24.17.359 W107.04.28.970
BASNN N039.55.53.979 W109.00.50.731
BATTZ N038.52.16.388 W108.14.15.291
BAVPE N035.35.22.210 W111.52.49.598
BBRTA N036.59.24.068 W107.12.17.481
BDROC N038.27.03.279 W108.36.19.861
